Country,,Children per Women,Fertility,Population,,Year
Afghanistan,,7.48,0,10.5,,1990
Albania,,2.91,14.6,9.54,,1990
Algeria,,4.48,0,11.2,,1990
American Samoa,,,62.5,,,1990
Andorra,,,0,,,1990
Angola,,7.19,0,10.8,,1990
Anguilla,,,76.7,,,1990
Antigua and Barbuda,,2.07,75.1,8.66,,1990
Argentina,,2.95,69.6,8.62,,1990
Armenia,,2.48,84.9,7.33,,1990
Aruba,,2.22,57,6.64,,1990
Australia,,1.86,22.1,7.8,,1990
Austria,,1.51,21.7,6.04,,1990
Azerbaijan,,3.02,29.4,8.61,,1990
Bahamas,,2.63,64.9,10,,1990
Bahrain,,3.6,20.6,8.97,,1990
Bangladesh,,4.37,0,11,,1990
Barbados,,1.73,56.4,8.9,,1990
Belarus,,1.82,45.1,6.68,,1990
Belgium,,1.59,11.9,6.21,,1990
Belize,,4.44,116,11,,1990
Benin,,6.68,0,10.1,,1990
Bermuda,,,34.6,,,1990
Bhutan,,5.43,0,10.6,,1990
Bolivia,,4.87,0,10.2,,1990
Bosnia and Herzegovina,,1.75,39.1,8,,1990
Botswana,,4.41,92,11.4,,1990
Brazil,,2.72,0,9.83,,1990
British Virgin Islands,,,45.6,,,1990
Brunei,,3.44,35.2,9.39,,1990
Bulgaria,,1.69,72.6,7.03,,1990
Burkina Faso,,6.98,0,10.3,,1990
Burundi,,7.47,0,9.3,,1990
Cambodia,,5.42,0,9.21,,1990
Cameroon,,6.35,0,10.2,,1990
Canada,,1.67,0,6.66,,1990
Cape Verde,,5.16,0,9.67,,1990
Cayman Islands,,,67.1,,,1990
Central African Republic,,5.77,0,10.1,,1990
Chad,,7.35,0,10.1,,1990
Channel Islands,,1.46,16.9,5.74,,1990
Chile,,2.5,63.4,8.98,,1990
China,,2.19,19.1,10,,1990
Colombia,,2.93,0,10,,1990
Comoros,,5.45,0,10.2,,1990
"Congo, Dem. Rep.",,7.17,0,10.1,,1990
"Congo, Rep.",,5.29,0,11.1,,1990
Cook Is,,,0,,,1990
Costa Rica,,3.11,91.3,8.79,,1990
Cote d'Ivoire,,6.4,0,10.4,,1990
Croatia,,1.62,26.9,6.58,,1990
Cuba,,1.72,0,9.62,,1990
Curaçao,,,,7.83,,1990
Cyprus,,2.38,23.1,7.37,,1990
Czech Republic,,1.74,50.5,7.96,,1990
Denmark,,1.68,8.8,6.74,,1990
Djibouti,,6,30.9,10.5,,1990
Dominica,,,102,,,1990
Dominican Republic,,3.4,0,11,,1990
Ecuador,,3.68,0,10.7,,1990
Egypt,,4.46,0,9.63,,1990
El Salvador,,3.89,105,10.6,,1990
